customer_id,channel,send_time,message,reasoning,chat_log,issue_status
0,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @sprintcare is the worst customer service,pending_customer_reply
1,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @sprintcare I did.,pending_customer_reply
2,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @sprintcare I have sent several private messages and no one is responding as usual,pending_customer_reply
3,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @sprintcare and how do you propose we do that,pending_customer_reply
4,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @115714 @sprintcare how can I get in touch with someone that matters at Spring Corporate,pending_customer_reply
5,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @sprintcare I've sent several private messages!!! and no one responds!,pending_customer_reply
6,scheduling_phone_call,2025-06-28T14:57:42Z,I want to ensure your question gets immediate attention. We're scheduling a call so we can discuss this thoroughly. You'll receive a confirmation email with the call details shortly.,Phone call recommended due to high urgency and low complexity. Message emphasizes immediate action due to high urgency.,Customer: @sprintcare I sent it twice now to apparently noone!,resolved
8,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @sprintcare I am not surprised because nothing works when it comes to sprint!,pending_customer_reply
9,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @sprintcare complete ineptness!,pending_customer_reply
11,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @sprintcare Since I signed up with you....Since day 1,pending_customer_reply
12,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯,pending_customer_reply
13,twitter_dm_reply,2025-06-28T14:57:42Z,"I've reviewed your billing concern and sent a detailed explanation to your email. If you have questions after reviewing, please reply.","Twitter DM for quick, accessible communication.","Customer: Save big our best-selling phones, &amp; get FREE Upgrades to any phone after 12 consecutive on-time ...",pending_customer_reply
14,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: Don't miss the chance to win a 2018 Jeep® Cherokee Overland! Follow and tweet #JustForYouSweepstakes...,pending_customer_reply
15,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: Get $350 off iPhone X when you pre-order yours with Sprint. #WorksForMe https://t.co/xFaqC6Mt5I,pending_customer_reply
16,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @117731 Loyalty does not go unnoticed on #TeamYellow. 😊,pending_customer_reply
17,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @177 Have you Pre-Ordered yours yet? 👀,pending_customer_reply
18,twitter_dm_reply,2025-06-28T14:57:42Z,Thanks for reaching out about your login issue. I've sent detailed troubleshooting steps to your email. Please check and let me know if you need further assistance.,"Twitter DM for quick, accessible communication.","Customer: @115714 whenever I contact customer support, they tell me I have shortcode enabled on my account, bu...",pending_customer_reply
19,twitter_dm_reply,2025-06-28T14:57:42Z,"Thanks for your question! Here's a quick answer. For more detailed information, I can send additional resources if needed.","Twitter DM for quick, accessible communication.",Customer: actually that's a broken link you sent me and incorrect information https://t.co/V4yfrHR8VI,resolved
20,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @Ask_Spectrum That is INCORRECT information I have the form in front of me that is faxed over-maybe ...,pending_customer_reply
21,twitter_dm_reply,2025-06-28T14:57:42Z,Thanks for reaching out about your login issue. I've sent detailed troubleshooting steps to your email. Please check and let me know if you need further assistance.,"Twitter DM for quick, accessible communication.",Customer: @Ask_Spectrum The correct way to do it is via an OCS Account Takeover and email Consent Form it does...,pending_customer_reply
22,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @Ask_Spectrum Would you like me to email you a copy of one since Spectrum is not updating your train...,pending_customer_reply
23,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @Ask_Spectrum I received this from your corporate office would you like a copy?,pending_customer_reply
24,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.","Customer: Yo @Ask_Spectrum, your customer service reps are super nice— but imma start trippin if y’all don’t g...",pending_customer_reply
25,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: My picture on @Ask_Spectrum pretty much every day. Why should I pay $171 per month? https://t.co/U6p...,pending_customer_reply
26,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: I’ll do it LIVE so there is no confusion. Paul Garrison 850.266.3576 https://t.co/5GI1Wh765p,pending_customer_reply
27,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: somebody from @VerizonSupport please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer ...,pending_customer_reply
29,twitter_dm_reply,2025-06-28T14:57:42Z,"Thanks for your question! Here's a quick answer. For more detailed information, I can send additional resources if needed.","Twitter DM for quick, accessible communication.",Customer: @VerizonSupport My friend is without internet we need to play videogames together please our skills ...,resolved
30,twitter_dm_reply,2025-06-28T14:57:42Z,"I've reviewed your billing concern and sent a detailed explanation to your email. If you have questions after reviewing, please reply.","Twitter DM for quick, accessible communication.","Customer: @115722 tried to pay a bill for 60 days. No service, rude CS, and several transfers. Look up my equi...",pending_customer_reply
31,twitter_dm_reply,2025-06-28T14:57:42Z,Thanks for reaching out about your login issue. I've sent detailed troubleshooting steps to your email. Please check and let me know if you need further assistance.,"Twitter DM for quick, accessible communication.",Customer: @115722 Nobody can find my account or number. I walked out of a store with this. I've explained that...,pending_customer_reply
32,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @115722 MD. And this was sent to the wrong address https://t.co/dMQ1WZXJOk,pending_customer_reply
33,scheduling_phone_call,2025-06-28T14:57:42Z,I want to ensure your question gets immediate attention. We're scheduling a call so we can discuss this thoroughly. You'll receive a confirmation email with the call details shortly.,Phone call recommended due to high urgency and low complexity. Message emphasizes immediate action due to high urgency.,Customer: @VerizonSupport What else can I provide? They refuse to help me because they cannot validate the acc...,resolved
34,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.","Customer: @VerizonSupport How? I have my phone number and email, that's it. How did I get equipment and servic...",pending_customer_reply
35,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.","Customer: @116658 That's not good. Were you able to change channels and then back?
^JAY",pending_customer_reply
36,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.","Customer: @115721 Are you referring to wireless or residential service?
^JAY",pending_customer_reply
37,twitter_dm_reply,2025-06-28T14:57:42Z,"I've reviewed your billing concern and sent a detailed explanation to your email. If you have questions after reviewing, please reply.","Twitter DM for quick, accessible communication.","Customer: @115721 Hello Duke, Do you have a copy of your bill? What state are your services located in?
^NHP",pending_customer_reply
38,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent comprehensive troubleshooting steps to your email for the technical issue you described. These should resolve the problem.,"Twitter DM for quick, accessible communication. Technical issue requires specialized guidance.","Customer: Planning a scary movie marathon? With Fios, you don’t need to fear a slow internet connection. https...",pending_customer_reply
39,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.","Customer: @116750 Hello Jason, when did you return your equipment to us? Do you have the return slip?
^NHP",pending_customer_reply
40,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @116750 Have you reached out to Financial Service? ^NHP,pending_customer_reply
41,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.","Customer: @117309 Hello Victoria, Currently we have no update at this time.
^NHP",pending_customer_reply
42,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.","Customer: @117905 Hello, Check the router label for the orignal log on information.
^NHP",pending_customer_reply
43,twitter_dm_reply,2025-06-28T14:57:42Z,"Thanks for your question! Here's a quick answer. For more detailed information, I can send additional resources if needed.","Twitter DM for quick, accessible communication.","Customer: @118162 Are you referring to wireless issues or residential?
^JAY",resolved
44,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @115722 is the worst ISP I’ve ever had,pending_customer_reply
45,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @VerizonSupport Cuts out every 20 minutes this is ridiculous,pending_customer_reply
46,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @VerizonSupport Yep,pending_customer_reply
47,twitter_dm_reply,2025-06-28T14:57:42Z,I've sent a detailed response to your inquiry via email. Please review and feel free to ask any follow-up questions.,"Twitter DM for quick, accessible communication.",Customer: @VerizonSupport Just randomly boots me offline there it goes again,pending_customer_reply
48,scheduling_phone_call,2025-06-28T14:57:42Z,I want to ensure your question gets immediate attention. We're scheduling a call so we can discuss this thoroughly. You'll receive a confirmation email with the call details shortly.,Phone call recommended due to high urgency and low complexity. Message emphasizes immediate action due to high urgency.,"Customer: @VerizonSupport Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethern...",resolved
49,twitter_dm_reply,2025-06-28T14:57:42Z,"Thanks for your question! Here's a quick answer. For more detailed information, I can send additional resources if needed.","Twitter DM for quick, accessible communication.",Customer: .@VerizonSupport @115725 @115726                                                 &gt;All of VERIZON ...,resolved
50,twitter_dm_reply,2025-06-28T14:57:42Z,"Thanks for your question! Here's a quick answer. For more detailed information, I can send additional resources if needed.","Twitter DM for quick, accessible communication.",Customer: @115725 fix your app it won't even open,resolved
