customer_id,predicted_personality,baseline_personalization,enhanced_personalization,baseline_channel_score,enhanced_channel_score,baseline_message_length,enhanced_message_length,personalization_improvement,channel_improvement
0,ESFJ,0.0,0.6666666666666666,0.6,0.6,116,213,0.6666666666666666,0.0
1,ESFJ,0.0,0.6666666666666666,0.6,0.6,116,213,0.6666666666666666,0.0
2,ESFJ,0.0,0.6666666666666666,0.6,0.6,116,213,0.6666666666666666,0.0
3,ESFJ,0.0,0.6666666666666666,0.6,0.6,116,213,0.6666666666666666,0.0
4,ESFJ,0.0,0.6666666666666666,0.6,0.6,116,213,0.6666666666666666,0.0
5,ESFJ,0.0,0.6666666666666666,0.6,0.6,116,213,0.6666666666666666,0.0
6,ESFJ,0.0,0.6666666666666666,1.0,1.0,182,279,0.6666666666666666,0.0
8,ESFJ,0.0,0.6666666666666666,0.6,0.6,116,213,0.6666666666666666,0.0
9,ESFJ,0.0,0.6666666666666666,0.6,0.6,116,213,0.6666666666666666,0.0
11,ESFJ,0.0,0.6666666666666666,0.6,0.6,116,213,0.6666666666666666,0.0
